NODE_KEY                        ,PARENT_KEY_NODE_KEY               ,PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
74867AD200E41EDBA5D8B0CBD35EC052,74867AD200E41EDBA5D8B0C98DC32052  ,10,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,53.55,45,8.55
74867AD200E41EDBA5D8B0CBD35EE052,74867AD200E41EDBA5D8B0C98DC32052  ,20,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,"2,972.62","2,498.00",474.62
74867AD200E41EDBA5D8B0CBD35F0052,74867AD200E41EDBA5D8B0C98DC32052  ,30,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
74867AD200E41EDBA5D8B0CBD35F2052,74867AD200E41EDBA5D8B0C98DC32052  ,40,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
74867AD200E41EDBA5D8B0CBD35F4052,74867AD200E41EDBA5D8B0C98DC32052  ,50,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,"2,972.62","2,498.00",474.62
74867AD200E41EDBA5D8B0CBD35F6052,74867AD200E41EDBA5D8B0C98DC32052  ,60,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
74867AD200E41EDBA5D8B0CBD35F8052,74867AD200E41EDBA5D8B0C98DC32052  ,70,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
74867AD200E41EDBA5D8B0CBD35FA052,74867AD200E41EDBA5D8B0C98DC34052  ,10,74867AD200E41EDBA5D8B06B26F2E052  ,MXN          ,210.63,177,33.63
74867AD200E41EDBA5D8B0CBD35FC052,74867AD200E41EDBA5D8B0C98DC34052  ,20,74867AD200E41EDBA5D8B06B26ED4052  ,MXN          ,"1,463.70","1,230.00",233.7
74867AD200E41EDBA5D8B0CBD35FE052,74867AD200E41EDBA5D8B0C98DC34052  ,30,74867AD200E41EDBA5D8B06B26F88052  ,MXN          ,"2,673.93","2,247.00",426.93
74867AD200E41EDBA5D8B0CBD3600052,74867AD200E41EDBA5D8B0C98DC36052  ,10,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,333.18,279.98,53.2
74867AD200E41EDBA5D8B0CBD3602052,74867AD200E41EDBA5D8B0C98DC36052  ,20,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,224.91,189,35.91
74867AD200E41EDBA5D8B0CBD3604052,74867AD200E41EDBA5D8B0C98DC36052  ,30,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,166.59,139.99,26.6
74867AD200E41EDBA5D8B0CBD3606052,74867AD200E41EDBA5D8B0C98DC36052  ,40,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,149.94,126,23.94
74867AD200E41EDBA5D8B0CBD3608052,74867AD200E41EDBA5D8B0C98DC36052  ,50,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,333.18,279.98,53.2
74867AD200E41EDBA5D8B0CBD360A052,74867AD200E41EDBA5D8B0C98DC36052  ,60,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,74.97,63,11.97
74867AD200E41EDBA5D8B0CBD360C052,74867AD200E41EDBA5D8B0C98DC36052  ,70,74867AD200E41EDBA5D8B06B26F00052  ,EUR          ,499.76,419.97,79.79
74867AD200E41EDBA5D8B0CBD360E052,74867AD200E41EDBA5D8B0C98DC36052  ,80,74867AD200E41EDBA5D8B06B26F5A052  ,EUR          ,74.97,63,11.97
74867AD200E41EDBA5D8B0CBD3610052,74867AD200E41EDBA5D8B0C98DC38052  ,10,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,"1,023.40",860,163.4
74867AD200E41EDBA5D8B0CBD3612052,74867AD200E41EDBA5D8B0C98DC38052  ,20,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
74867AD200E41EDBA5D8B0CBD3614052,74867AD200E41EDBA5D8B0C98DC38052  ,30,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98,18.62
74867AD200E41EDBA5D8B0CBD3616052,74867AD200E41EDBA5D8B0C98DC38052  ,40,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,"1,535.10","1,290.00",245.1
74867AD200E41EDBA5D8B0CBD3618052,74867AD200E41EDBA5D8B0C98DC38052  ,50,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
74867AD200E41EDBA5D8B0CBD361A052,74867AD200E41EDBA5D8B0C98DC38052  ,60,74867AD200E41EDBA5D8B06B26F2C052  ,CAD          ,116.62,98,18.62
74867AD200E41EDBA5D8B0CBD361C052,74867AD200E41EDBA5D8B0C98DC3A052  ,10,74867AD200E41EDBA5D8B06B26EC8052  ,USD          ,"1,218.56","1,024.00",194.56
74867AD200E41EDBA5D8B0CBD361E052,74867AD200E41EDBA5D8B0C98DC3A052  ,20,74867AD200E41EDBA5D8B06B26F22052  ,USD          ,21.18,17.8,3.38
74867AD200E41EDBA5D8B0CBD3620052,74867AD200E41EDBA5D8B0C98DC3A052  ,30,74867AD200E41EDBA5D8B06B26F7C052  ,USD          ,188.02,158,30.02
74867AD200E41EDBA5D8B0CBD3622052,74867AD200E41EDBA5D8B0C98DC3C052  ,10,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,"1,166.20",980,186.2
74867AD200E41EDBA5D8B0CBD3624052,74867AD200E41EDBA5D8B0C98DC3C052  ,20,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,83.3,70,13.3
74867AD200E41EDBA5D8B0CBD3626052,74867AD200E41EDBA5D8B0C98DC3C052  ,30,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,"2,259.81","1,899.00",360.81
74867AD200E41EDBA5D8B0CBD3628052,74867AD200E41EDBA5D8B0C98DC3C052  ,40,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,"1,166.20",980,186.2
74867AD200E41EDBA5D8B0CBD362A052,74867AD200E41EDBA5D8B0C98DC3C052  ,50,74867AD200E41EDBA5D8B06B26F32052  ,ARS          ,83.3,70,13.3
74867AD200E41EDBA5D8B0CBD362C052,74867AD200E41EDBA5D8B0C98DC3C052  ,60,74867AD200E41EDBA5D8B06B26F8C052  ,ARS          ,753.27,633,120.27
74867AD200E41EDBA5D8B0CBD362E052,74867AD200E41EDBA5D8B0C98DC3C052  ,70,74867AD200E41EDBA5D8B06B26ED8052  ,ARS          ,"1,749.30","1,470.00",279.3
74867AD200E41EDBA5D8B0CBD3630052,74867AD200E41EDBA5D8B0C98DC3E052  ,10,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,34.51,29,5.51
74867AD200E41EDBA5D8B0CBD3632052,74867AD200E41EDBA5D8B0C98DC3E052  ,20,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,253.11,212.7,40.41
74867AD200E41EDBA5D8B0CBD3634052,74867AD200E41EDBA5D8B0C98DC3E052  ,30,74867AD200E41EDBA5D8B06B26F54052  ,ARS          ,103.53,87,16.53
74867AD200E41EDBA5D8B0CBD3636052,74867AD200E41EDBA5D8B0C98DC3E052  ,40,74867AD200E41EDBA5D8B06B26EFA052  ,ARS          ,84.37,70.9,13.47
74867AD200E41EDBA5D8B0CBD3638052,74867AD200E41EDBA5D8B0C98DC40052  ,10,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,"2,322.88","1,952.00",370.88
74867AD200E41EDBA5D8B0CBD363A052,74867AD200E41EDBA5D8B0C98DC40052  ,20,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,"2,853.62","2,398.00",455.62
74867AD200E41EDBA5D8B0CBD363C052,74867AD200E41EDBA5D8B0C98DC40052  ,30,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22,4.18
74867AD200E41EDBA5D8B0CBD363E052,74867AD200E41EDBA5D8B0C98DC40052  ,40,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,"3,484.32","2,928.00",556.32
74867AD200E41EDBA5D8B0CBD3640052,74867AD200E41EDBA5D8B0C98DC40052  ,50,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,"2,853.62","2,398.00",455.62
74867AD200E41EDBA5D8B0CBD3642052,74867AD200E41EDBA5D8B0C98DC40052  ,60,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,26.18,22,4.18
74867AD200E41EDBA5D8B0CBD3644052,74867AD200E41EDBA5D8B0C98DC40052  ,70,74867AD200E41EDBA5D8B06B26F9E052  ,ARS          ,"1,161.44",976,185.44
74867AD200E41EDBA5D8B0CBD3646052,74867AD200E41EDBA5D8B0C98DC40052  ,80,74867AD200E41EDBA5D8B06B26F44052  ,ARS          ,"2,853.62","2,398.00",455.62
74867AD200E41EDBA5D8B0CBD3648052,74867AD200E41EDBA5D8B0C98DC40052  ,90,74867AD200E41EDBA5D8B06B26EEA052  ,ARS          ,39.27,33,6.27
74867AD200E41EDBA5D8B0CBD364A052,74867AD200E41EDBA5D8B0C98DC42052  ,10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
74867AD200E41EDBA5D8B0CBD364C052,74867AD200E41EDBA5D8B0C98DC42052  ,20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
74867AD200E41EDBA5D8B0CBD364E052,74867AD200E41EDBA5D8B0C98DC42052  ,30,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,"2,972.62","2,498.00",474.62
74867AD200E41EDBA5D8B0CBD3650052,74867AD200E41EDBA5D8B0C98DC42052  ,40,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
74867AD200E41EDBA5D8B0CBD3652052,74867AD200E41EDBA5D8B0C98DC42052  ,50,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,160.65,135,25.65
74867AD200E41EDBA5D8B0CBD3654052,74867AD200E41EDBA5D8B0C98DC42052  ,60,74867AD200E41EDBA5D8B06B26EB6052  ,EUR          ,"2,972.62","2,498.00",474.62
74867AD200E41EDBA5D8B0CBD3656052,74867AD200E41EDBA5D8B0C98DC42052  ,70,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,21.4,17.98,3.42
74867AD200E41EDBA5D8B0CBD3658052,74867AD200E41EDBA5D8B0C98DC44052  ,10,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
74867AD200E41EDBA5D8B0CBD365A052,74867AD200E41EDBA5D8B0C98DC44052  ,20,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,33.32,28,5.32
74867AD200E41EDBA5D8B0CBD365C052,74867AD200E41EDBA5D8B0C98DC44052  ,30,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
74867AD200E41EDBA5D8B0CBD365E052,74867AD200E41EDBA5D8B0C98DC44052  ,40,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,16.66,14,2.66
74867AD200E41EDBA5D8B0CBD3660052,74867AD200E41EDBA5D8B0C98DC44052  ,50,74867AD200E41EDBA5D8B06B26F52052  ,JPY          ,46.41,39,7.41
74867AD200E41EDBA5D8B0CBD3662052,74867AD200E41EDBA5D8B0C98DC44052  ,60,74867AD200E41EDBA5D8B06B26EF8052  ,JPY          ,49.98,42,7.98
74867AD200E41EDBA5D8B0CBD3664052,74867AD200E41EDBA5D8B0C98DC46052  ,10,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,"4,280.43","3,597.00",683.43
74867AD200E41EDBA5D8B0CBD3666052,74867AD200E41EDBA5D8B0C98DC46052  ,20,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.6,0.87
74867AD200E41EDBA5D8B0CBD3668052,74867AD200E41EDBA5D8B0C98DC46052  ,30,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,410.55,345,65.55
74867AD200E41EDBA5D8B0CBD366A052,74867AD200E41EDBA5D8B0C98DC46052  ,40,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,"4,280.43","3,597.00",683.43
74867AD200E41EDBA5D8B0CBD366C052,74867AD200E41EDBA5D8B0C98DC46052  ,50,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,5.47,4.6,0.87
74867AD200E41EDBA5D8B0CBD366E052,74867AD200E41EDBA5D8B0C98DC46052  ,60,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,410.55,345,65.55
74867AD200E41EDBA5D8B0CBD3670052,74867AD200E41EDBA5D8B0C98DC46052  ,70,74867AD200E41EDBA5D8B06B26F82052  ,EUR          ,"2,853.62","2,398.00",455.62
74867AD200E41EDBA5D8B0CBD3672052,74867AD200E41EDBA5D8B0C98DC46052  ,80,74867AD200E41EDBA5D8B06B26F28052  ,EUR          ,8.21,6.9,1.31
74867AD200E41EDBA5D8B0CBD3674052,74867AD200E41EDBA5D8B0C98DC46052  ,90,74867AD200E41EDBA5D8B06B26ECE052  ,EUR          ,821.1,690,131.1
74867AD200E41EDBA5D8B0CBD3676052,74867AD200E41EDBA5D8B0C98DC48052  ,10,74867AD200E41EDBA5D8B06B26EDE052  ,USD          ,235.62,198,37.62
74867AD200E41EDBA5D8B0CBD3678052,74867AD200E41EDBA5D8B0C98DC48052  ,20,74867AD200E41EDBA5D8B06B26F92052  ,USD          ,"1,651.72","1,388.00",263.72
74867AD200E41EDBA5D8B0CBD367A052,74867AD200E41EDBA5D8B0C98DC48052  ,30,74867AD200E41EDBA5D8B06B26F38052  ,USD          ,54.74,46,8.74
74867AD200E41EDBA5D8B0CBD367C052,74867AD200E41EDBA5D8B0C98DC4A052  ,10,74867AD200E41EDBA5D8B06B26F6A052  ,EUR          ,10.7,8.99,1.71
74867AD200E41EDBA5D8B0CBD367E052,74867AD200E41EDBA5D8B0C98DC4A052  ,20,74867AD200E41EDBA5D8B06B26F10052  ,EUR          ,107.1,90,17.1
74867AD200E41EDBA5D8B0CBD3680052,74867AD200E41EDBA5D8B0C98DC4C052  ,10,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,"8,207.43","6,897.00","1,310.43"
74867AD200E41EDBA5D8B0CBD3682052,74867AD200E41EDBA5D8B0C98DC4C052  ,20,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,"6,069.00","5,100.00",969
74867AD200E41EDBA5D8B0CBD3684052,74867AD200E41EDBA5D8B0C98DC4C052  ,30,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,65.45,55,10.45
74867AD200E41EDBA5D8B0CBD3686052,74867AD200E41EDBA5D8B0C98DC4C052  ,40,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,"5,471.62","4,598.00",873.62
74867AD200E41EDBA5D8B0CBD3688052,74867AD200E41EDBA5D8B0C98DC4E052  ,10,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.7,45.54
74867AD200E41EDBA5D8B0CBD368A052,74867AD200E41EDBA5D8B0C98DC4E052  ,20,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,"1,963.50","1,650.00",313.5
74867AD200E41EDBA5D8B0CBD368C052,74867AD200E41EDBA5D8B0C98DC4E052  ,30,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,160.61,134.97,25.64
74867AD200E41EDBA5D8B0CBD368E052,74867AD200E41EDBA5D8B0C98DC4E052  ,40,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.9,15.18
74867AD200E41EDBA5D8B0CBD3690052,74867AD200E41EDBA5D8B0C98DC4E052  ,50,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,"5,890.50","4,950.00",940.5
74867AD200E41EDBA5D8B0CBD3692052,74867AD200E41EDBA5D8B0C98DC4E052  ,60,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
74867AD200E41EDBA5D8B0CBD3694052,74867AD200E41EDBA5D8B0C98DC50052  ,10,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
74867AD200E41EDBA5D8B0CBD3696052,74867AD200E41EDBA5D8B0C98DC50052  ,20,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,194.45,163.4,31.05
74867AD200E41EDBA5D8B0CBD3698052,74867AD200E41EDBA5D8B0C98DC50052  ,30,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
74867AD200E41EDBA5D8B0CBD369A052,74867AD200E41EDBA5D8B0C98DC50052  ,40,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,194.45,163.4,31.05
74867AD200E41EDBA5D8B0CBD369C052,74867AD200E41EDBA5D8B0C98DC50052  ,50,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,355.81,299,56.81
74867AD200E41EDBA5D8B0CBD369E052,74867AD200E41EDBA5D8B0C98DC50052  ,60,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,97.22,81.7,15.52
74867AD200E41EDBA5D8B0CBD36A0052,74867AD200E41EDBA5D8B0C98DC50052  ,70,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
74867AD200E41EDBA5D8B0CBD36A2052,74867AD200E41EDBA5D8B0C98DC50052  ,80,74867AD200E41EDBA5D8B06B26EFC052  ,ZAR          ,291.67,245.1,46.57
74867AD200E41EDBA5D8B0CBD36A4052,74867AD200E41EDBA5D8B0C98DC50052  ,90,74867AD200E41EDBA5D8B06B26F56052  ,ZAR          ,711.62,598,113.62
74867AD200E41EDBA5D8B0CBD36A6052,74867AD200E41EDBA5D8B0C98DC52052  ,10,74867AD200E41EDBA5D8B06B26EC0052  ,JPY          ,"5,471.62","4,598.00",873.62
74867AD200E41EDBA5D8B0CBD36A8052,74867AD200E41EDBA5D8B0C98DC52052  ,20,74867AD200E41EDBA5D8B06B26F74052  ,JPY          ,"2,023.00","1,700.00",323
74867AD200E41EDBA5D8B0CBD36AA052,74867AD200E41EDBA5D8B0C98DC52052  ,30,74867AD200E41EDBA5D8B06B26F1A052  ,JPY          ,130.9,110,20.9
74867AD200E41EDBA5D8B0CBD36AC052,74867AD200E41EDBA5D8B0C98DC54052  ,10,74867AD200E41EDBA5D8B06B26ED2052  ,CAD          ,"1,535.10","1,290.00",245.1
74867AD200E41EDBA5D8B0CBD36AE052,74867AD200E41EDBA5D8B0C98DC54052  ,20,74867AD200E41EDBA5D8B06B26F86052  ,CAD          ,0,0,0
74867AD200E41EDBA5D8B0CBD36B0052,74867AD200E41EDBA5D8B0C98DC56052  ,10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
74867AD200E41EDBA5D8B0CBD36B2052,74867AD200E41EDBA5D8B0C98DC56052  ,20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507,96.33
74867AD200E41EDBA5D8B0CBD36B4052,74867AD200E41EDBA5D8B0C98DC56052  ,30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,154.7,130,24.7
74867AD200E41EDBA5D8B0CBD36B6052,74867AD200E41EDBA5D8B0C98DC56052  ,40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
74867AD200E41EDBA5D8B0CBD36B8052,74867AD200E41EDBA5D8B0C98DC58052  ,10,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,"4,284.00","3,600.00",684
74867AD200E41EDBA5D8B0CBD36BA052,74867AD200E41EDBA5D8B0C98DC58052  ,20,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,103.53,87,16.53
74867AD200E41EDBA5D8B0CBD36BC052,74867AD200E41EDBA5D8B0C98DC58052  ,30,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,"1,638.63","1,377.00",261.63
74867AD200E41EDBA5D8B0CBD36BE052,74867AD200E41EDBA5D8B0C98DC58052  ,40,74867AD200E41EDBA5D8B06B26F76052  ,EUR          ,"4,284.00","3,600.00",684
74867AD200E41EDBA5D8B0CBD36C0052,74867AD200E41EDBA5D8B0C98DC58052  ,50,74867AD200E41EDBA5D8B06B26F1C052  ,EUR          ,69.02,58,11.02
74867AD200E41EDBA5D8B0CBD36C2052,74867AD200E41EDBA5D8B0C98DC58052  ,60,74867AD200E41EDBA5D8B06B26EC2052  ,EUR          ,546.21,459,87.21
